n,structure,operation,position,avgTimeNs,avgAccesses
100,DynamicArray,insert,start,931041,1200000
100,DynamicArray,remove,start,1234233,1201000
100,DynamicArray,insert,middle,83049,1100000
100,DynamicArray,remove,middle,59133,601000
100,LinkedList,insert,start,48949,0
100,LinkedList,remove,start,40333,1000
100,LinkedList,insert,middle,98658,51000
100,LinkedList,remove,middle,582016,301000
1000,DynamicArray,insert,start,131591,3000000
1000,DynamicArray,remove,start,85225,3001000
1000,DynamicArray,insert,middle,103758,2000000
1000,DynamicArray,remove,middle,75499,1501000
1000,LinkedList,insert,start,34999,0
1000,LinkedList,remove,start,22800,1000
1000,LinkedList,insert,middle,450508,501000
1000,LinkedList,remove,middle,1102466,751000
10000,DynamicArray,insert,start,598892,21000000
10000,DynamicArray,remove,start,430174,21001000
10000,DynamicArray,insert,middle,322841,11000000
10000,DynamicArray,remove,middle,212833,10501000
10000,LinkedList,insert,start,4850,0
10000,LinkedList,remove,start,5000,1000
10000,LinkedList,insert,middle,3032183,5001000
10000,LinkedList,remove,middle,6956591,5251000
100000,DynamicArray,insert,start,10732266,201000000
100000,DynamicArray,remove,start,8617300,201001000
100000,DynamicArray,insert,middle,5519158,101000000
100000,DynamicArray,remove,middle,4667983,100501000
100000,LinkedList,insert,start,4033,0
100000,LinkedList,remove,start,2625,1000
100000,LinkedList,insert,middle,71746058,50001000
100000,LinkedList,remove,middle,71273058,50251000
